Patch Colors
-4, -15, 55
-2, 3, 55
12, 5, 55
12, 6, 55
-14, 2, 0
-16, 1, 55
2, 9, 55
-4, -11, 55
12, -2, 55
16, 8, 55
3, 12, 55
16, -8, 55
-1, -11, 55
-6, 11, 0
-16, -6, 55
2, 16, 0
-11, -3, 55
-15, 14, 55
12, -15, 55
13, 2, 55
10, -10, 55
-4, 1, 55
-15, -8, 55
-1, 3, 55
15, 4, 55
-5, 12, 55
1, 14, 105
4, -6, 55
9, 11, 55
0, -16, 55
16, 12, 0
-3, -5, 55
0, -7, 55
6, -3, 55
-8, 0, 55
-2, 0, 55
10, -1, 55
-3, -1, 55
7, -3, 55
3, -7, 55
-15, 1, 55
7, 1, 55
-7, -14, 55
-3, -7, 55
1, -1, 55
4, -3, 55
1, -6, 55
15, 9, 55
8, 4, 55
3, -4, 55
0, 8, 55
10, 7, 0
3, 4, 55
-13, 15, 55
-1, 14, 55
0, -11, 55
-9, -6, 55
-4, 2, 105
-5, -5, 55
-8, 16, 55
0, -14, 55
8, -7, 55
-10, -7, 55
9, 0, 55
0, -9, 0
-3, -8, 55
-6, 9, 0
-3, 9, 55
9, -10, 55
4, -1, 55
-1, 10, 55
14, 14, 55
6, 16, 0
6, 9, 55
-8, -9, 55
11, -11, 55
-15, 10, 55
-11, -4, 55
-10, -3, 55
15, -1, 55
1, 5, 55
-14, -6, 55
-14, 14, 0
-10, 7, 55
-5, -3, 55
-10, -12, 55
4, -13, 55
-15, -15, 55
-5, 10, 55
-6, -5, 55
15, 8, 55
13, 16, 55
16, -13, 0
9, 14, 55
12, 4, 55
4, 8, 55
-15, 15, 55
4, 2, 55
-5, 9, 55
-10, -15, 55
-8, 13, 55
-7, -11, 55
7, -4, 55
-7, -9, 105
-13, -12, 55
-10, -9, 55
16, -4, 55
11, 8, 55
-16, -15, 55
10, 6, 55
-15, -13, 115
-8, 15, 55
-2, 14, 55
-14, 13, 55
-1, 11, 55
-4, -12, 55
2, -15, 55
5, -10, 105
-16, -16, 55
-10, 14, 55
0, -8, 55
-9, -4, 55
-11, 4, 55
-7, 11, 55
1, 8, 55
13, -12, 55
-14, 1, 55
-12, 9, 55
15, 11, 55
0, -3, 55
-2, -12, 55
-8, -11, 55
-8, 12, 0
-7, -10, 55
10, 12, 55
2, -3, 55
-6, 14, 55
7, 16, 55
13, -2, 55
11, 4, 55
-4, 12, 55
-4, 9, 55
9, -6, 55
14, 1, 55
-7, -15, 105
5, -8, 55
7, -16, 55
8, 12, 105
-8, -10, 55
8, -9, 55
4, 7, 55
-9, -1, 55
-9, -5, 55
-7, -7, 55
2, -10, 55
-3, -11, 55
-15, 6, 55
13, -14, 55
-9, 9, 55
3, 7, 55
-2, 15, 55
-3, 16, 55
5, 15, 0
-12, 3, 55
14, -9, 0
-2, -8, 55
10, -9, 55
7, -10, 55
16, -3, 55
-9, -9, 0
-16, -8, 55
-10, 11, 55
5, -15, 55
-5, 1, 0
-1, -10, 55
8, -2, 0
-4, 3, 115
9, 3, 55
-13, 5, 0
-8, 2, 55
15, 1, 55
9, 1, 0
-16, -11, 55
-13, -8, 55
-10, -14, 55
0, -13, 55
4, -11, 55
3, -16, 0
7, 2, 55
-5, -13, 55
14, 11, 55
8, 8, 55
-10, -4, 55
-9, 7, 105
8, 9, 55
10, 2, 55
-15, -4, 55
-14, -11, 55
-15, 5, 55
-15, 9, 55
-9, -12, 55
-2, -14, 55
-5, 11, 55
-5, 2, 55
5, -14, 55
12, -14, 55
14, 6, 55
-13, 2, 55
11, -8, 0
2, 10, 55
-14, -1, 55
-12, 6, 55
-8, -2, 55
14, 10, 55
0, 13, 55
3, -1, 55
-8, 10, 55
11, -5, 55
15, -3, 55
11, 1, 55
-1, 9, 55
-6, 15, 55
8, 13, 55
-14, -5, 0
-16, -1, 55
-3, 10, 55
1, 10, 55
8, 5, 55
-16, -13, 55
2, -5, 55
-13, -4, 55
12, -10, 55
7, -8, 55
4, 16, 0
14, -10, 55
12, 1, 55
2, -9, 115
-11, 0, 55
3, 6, 55
0, 15, 55
0, 5, 0
2, 12, 55
14, -8, 55
16, 6, 55
12, -1, 55
-2, -11, 55
12, -3, 55
1, -13, 105
10, 11, 55
10, -6, 55
-10, -8, 55
1, 4, 55
10, 4, 55
4, 9, 55
-12, 11, 55
3, 3, 55
10, 3, 55
-8, -4, 55
15, -11, 55
10, -3, 55
8, -10, 55
0, 2, 55
-14, -7, 0
-2, -1, 55
-6, -16, 55
12, 0, 55
-14, 8, 55
0, -2, 55
16, -6, 55
1, 15, 55
-13, 6, 115
-4, 4, 105
-6, 8, 55
-1, 6, 55
-1, 2, 55
9, -5, 55
9, 4, 55
14, 4, 55
-15, -11, 55
3, -2, 55
0, 6, 55
-4, 7, 55
15, 5, 55
-3, 1, 55
-3, 11, 55
14, -13, 55
0, 7, 55
-12, 2, 55
14, -11, 55
-3, 14, 55
3, 10, 55
-13, -1, 55
-6, -1, 55
15, -14, 55
4, -4, 55
-4, 13, 55
-16, 16, 9.9
-6, 2, 55
-6, -4, 55
13, 5, 55
12, 15, 55
16, -9, 55
7, -2, 55
-4, 16, 55
-12, -9, 55
-10, 13, 55
3, -10, 55
12, 13, 55
5, -4, 105
-2, -9, 55
11, 13, 0
